Esc.,mundo,mercado,reversión,dif,dif_ee,b_bruta,b_bruta_ee,b_neta,b_costos
S1,13,14.492043099425935,-0.007740715561425559,-0.0007890601187809862,0.000469586891098143,-0.32032315318737714,0.5719415670563445,-1.4153620710284516,1.0950389178412114
S3,13,14.492043099425935,-0.007740715561425559,0.0795239734979309,0.0009201167176748641,3.784093762325828,0.5845831198326539,2.8682943035490602,0.9157994587767271
S5,13,14.492043099425935,-0.007740715561425559,-0.0001484224707803683,0.0003067614093948,0.10340886118708431,0.19473603547263568,-1.1542402213293579,1.257649082516425
S1,14,1.8968286370400973,0.037927779071376067,-0.0003005922047437104,0.0005423255617942569,0.8169494040149163,0.6439240412670146,-0.39985482799119615,1.216804232006131
S3,14,1.8968286370400973,0.037927779071376067,0.08548316194134692,0.0010546354856987164,4.793570117207752,0.7059381340135119,3.8721857341175845,0.9213843830901438
S5,14,1.8968286370400973,0.037927779071376067,0.0005851717061714223,0.0003058393660792789,-0.1370723723697606,0.20413472854715736,-1.6865912660219997,1.5495188936522275
S1,15,22.275771516167815,0.024938380510241137,-0.0006680188535473086,0.0004925250020179488,0.29152041738630774,0.634686419410176,-0.5477149803197869,0.8392353977054711
S3,15,22.275771516167815,0.024938380510241137,0.07008715175165242,0.000736230224319893,2.880590672953257,0.5157875758618751,2.0935989197339935,0.7869917532193844
S5,15,22.275771516167815,0.024938380510241137,-3.803647131566529e-05,0.00031754719695109324,0.06103070809043747,0.2118139607030621,-0.9322745735926984,0.9933052816831487
S1,16,-4.310582350432647,0.13535569475386364,-0.0006755719595745099,0.0005766793458876643,0.1965539834836661,0.678815652929332,-1.0690689703768446,1.2656229538605444
S3,16,-4.310582350432647,0.13535569475386364,0.1255909571770678,0.0018403311686483784,8.619465818388958,0.8489965916411916,7.614988597501642,1.004477220887322
S5,16,-4.310582350432647,0.13535569475386364,0.00013858788060892857,0.0003203190401737811,0.10994955266441386,0.2211293579098509,-1.6397873487669794,1.7497369014314
S1,17,-5.964316059196403,0.028675041636516563,-0.00013328160435650827,0.0004677124878114024,0.19016008609760046,0.6207444820112137,-1.1051255466706793,1.2952856327680728
S3,17,-5.964316059196403,0.028675041636516563,0.07635297362907006,0.0007638595702884029,3.7997444482840406,0.6827462956010044,2.837162459736647,0.9625819885474199
